10995242;DM;Thomas Medical Products, Inc;HLS-1010.5;SafeSheath;PP;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MICROPORT CRM PORTUGAL, LDA
10995250;DM Implantável Ativo (DMIA);Boston Scientific Corporation;157;ENDOTAK RELIANCE;ENDOTAK RELIANCE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995269;DM Implantável Ativo (DMIA);Boston Scientific Corporation;0158;ENDOTAK RELIANCE;ENDOTAK RELIANCE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995277;DM Implantável Ativo (DMIA);Boston Scientific Corporation;148;ENDOTAK RELIANCE;ENDOTAK RELIANCE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995285;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F141;ENERGEN;BOSTON SCIENTIFIC;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995293;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F143;ENERGEN;BOSTON SCIENTIFIC;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995307;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;377181;SOLIA S;BIOTRONIK;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";CEM BIOTRONIK S.A.
10995315;DM Implantável Ativo (DMIA);BIOTRONIK SE & Co. KG;377180;SOLIA S;BIOTRONIK;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";CEM BIOTRONIK S.A.
10995340;DM;Thomas Medical Products, Inc;RL055;Situs LDS 2;Sorin Group;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MICROPORT CRM PORTUGAL, LDA
10995358;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4343;SELUTE PICOTIP VDD;SELUTE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995366;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4342;SELUTE PICOTIP VDD;SELUTE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995374;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4341;SELUTE PICOTIP VDD;SELUTE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995382;DM Implantável Ativo (DMIA);Boston Scientific Corporation;4340;SELUTE PICOTIP VDD;SELUTE;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995390;DM Implantável Ativo (DMIA);Boston Scientific Corporation;F142;ENERGEN;BOSTON SCIENTIFIC;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;Boston Scientific Portugal - Dispositivos Médicos, Lda.
10995404;DM Implantável Ativo (DMIA);Medtronic Inc. ;D354TRM;Protecta XT crt-d;Medtronic;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10995412;DM Implantável Ativo (DMIA);Medtronic Inc. ;9995;CONSULTA;Medtronic BV;Programadores de dispositivos cardíacos implantáveis - acessórios - acessórios software (J01900282);Programas de software necessários para o funcionamento do programador de dispositivos cardíacos implantáveis ou para melhorar a sua funcionalidade de diagnóstico e terapia (não inclui programas de gestão ou administrativos).;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10995420;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JJ847;STELID II BJF25D;SORIN;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
10995455;DM Implantável Ativo (DMIA);Medico SpA;PMSOPHOS456;Sophos;Medico Spa;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10995463;DM Implantável Ativo (DMIA);Medico SpA;PMSOPHOS445;Sophos;Medico Spa;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10995480;DM Implantável Ativo (DMIA);Medico SpA;PMSOPHOS355;Sophos;Medico Spa;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10995498;DM Implantável Ativo (DMIA);Medico SpA;PMSOPHOS351;Sophos;Medico Spa;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10995510;DM Implantável Ativo (DMIA);Medico SpA;PMEASYPLUSR;Easy Plus SR;medico spa;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10995528;DM Implantável Ativo (DMIA);Medtronic Inc. ;SW009;PROTECTA;Medtronic BV;Programadores de dispositivos cardíacos implantáveis - acessórios - acessórios software (J01900282);Programas de software necessários para o funcionamento do programador de dispositivos cardíacos implantáveis ou para melhorar a sua funcionalidade de diagnóstico e terapia (não inclui programas de gestão ou administrativos).;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10995536;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JW413;SITUS OTW BW28D;SORIN;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MICROPORT CRM PORTUGAL, LDA
10995544;DM Implantável Ativo (DMIA);Medico SpA;PMEASYPLUS;Easy Plus S;Medico Spa;Pacemaker de câmara única (SC) (J01010101);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência fixa.;SETFARMA - DISTRIBUIÇÃO E COMERCIALIZAÇÃO PRODUTOS DE SAÚDE  LDA.
10995552;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;IJ247;ISOLINE 2CR-6;SORIN;Electrocateteres permanentes para estimulação e desfibrilação no ventrículo direito - outros (J019001020199);Dispositivos estéreis que são uma miscelânea de electrocateteres permanentes para estimulação e desfibrilhação no ventrículo direito que não têm colocação em ramos terminais específicos. Os dispositivos descritos são de uso único.;MICROPORT CRM PORTUGAL, LDA
10995560;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;IJ237;ISOLINE 2CT-6;SORIN;Electrocateteres permanentes para estimulação e desfibrilação no ventrículo direito - outros (J019001020199);Dispositivos estéreis que são uma miscelânea de electrocateteres permanentes para estimulação e desfibrilhação no ventrículo direito que não têm colocação em ramos terminais específicos. Os dispositivos descritos são de uso único.;MICROPORT CRM PORTUGAL, LDA
10995617;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JR6CM;BEFLEX;SORIN;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
10995625;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JR5CM;BEFLEX;SORIN;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
10995633;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;PM2124;Accent MRI DR PM2124;St Jude Medical;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10995641;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;PM2224;Accent MRI RF DR PM2224;St Jude Medical;Pacemaker de dupla câmara com sensor (DR) (J01010302);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca.  Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.  A função de pacing  é modulada com base nas medições dos parametros fisiológicos efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10995650;DM Implantável Ativo (DMIA);Medtronic Inc. ;D364VRM;Protecta VR D364VRM;Medtronic;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10995668;DM Implantável Ativo (DMIA);Medtronic Inc. ;D354VRM;Protecta XT VR D354VRM;Medtronic;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;MEDTRONIC PORTUGAL - COMERCIO E DISTRIBUICAO DE APARELHOS MEDICOS LDA
10995676;DM;VYGON GmbH & Co.KG;1153.06;Pulmoball;Vygon;Electrocateteres permanentes - acessórios (J01900180);Dispositivos estéreis ou não estéreis ques representam um conjunto de acessórios utilizados com os electrocateteres permanentes para função cardíaca. Os dispositivos descritos são de uso único ou reutilizáveis.;MICROPORT CRM PORTUGAL, LDA
10995706;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;ICV1185;PARADYM RF VR 9250;SORIN;Desfibrilhadores de câmara única com sensor (J01050101);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Tem a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por um só electrocateter com sensor (localizado na aurícula ou ventrículo direitos) com função de detecção de arritmias e de estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;MICROPORT CRM PORTUGAL, LDA
10995714;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;ICV1118;ESPRIT D;SORIN;Pacemaker de dupla câmara (DC) (J01010301);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Possuem dois electrocateteres, colocados na aurícula e ventrículo direitos, capazes de detectar (função de sensing) e/ou estimular(função de pacing) ambas as câmaras independentemente da sua actividade intrínseca.;MICROPORT CRM PORTUGAL, LDA
10995722;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JW513;SITUS 2 BW 28D MV;SORIN;Electrocateteres para ventrículo esquerdo com sistema de cânula no seio coronário (pacemaker de tripla câmara) (J0190010103);Dispositivos estéreis utilizados para estabelecer a ligação eléctrica permanente de um pacemaker de tripla câmara ao ventriculo esquerdo do doente. Transmitem ao coração o impulso estimulante proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Estes electrocateteres são fixados à superfície interna do ventrículo. Os dispositivos descritos são de uso único.;MICROPORT CRM PORTUGAL, LDA
10995730;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JT927;STELID II BTF26D;SORIN;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
10995773;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;PM1224;Accent MRI RF SR PM1224;St Jude Medical;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10995781;DM Implantável Ativo (DMIA);St. Jude Medical - Cardiac Rhythm Management Division | Abbott Medical;PM1124;Accent MRI SR PM1124;St Jude Medical;Pacemaker de câmara única com sensor (SR) (J01010102);Dispositivos médicos implantáveis activos que estimulam electricamente a contracção cardíaca quando, devido a um processo patologico, não é garantida autonomamente pelo tecido de condução cardíaca. Utilizam apenas um eléctrodo transvenoso com sensor colocado na câmara superior direita (aurícula direita) ou na câmara inferior direita (ventrículo direito) do coração para veicular o sinal e efectuar a estimulação a uma frequência variável, dependendo das medições dos parâmetros fisiológicos efectuadas pelo sensor.;ABBOTT MEDICAL (PORTUGAL) - DISTRIBUIÇÃO DE PRODUTOS MÉDICOS, LDA
10995790;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;ICV1155;PARADYM DR 8550;SORIN;Desfibrilhadores de dupla câmara com sensor (J01050201);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilhação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por dois electrocateteres com sensor (localizados na aurícula e ventrículo direitos) com função de detecção de arritmias e de  estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;MICROPORT CRM PORTUGAL, LDA
10995803;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;ICV1182;PARADYM RF SonR CRT-D 9770;SORIN;Desfibrilhadores de tripla câmara com sensor (J01050301);Dispositivos médicos implantáveis activos cuja função é reverter um quadro de fibrilação auricular ou ventricular. Têm a particularidade de avaliar as condições cardíacas do doente (especialmente taquiarritmias ventriculares) e emitir uma descarga eléctrica para restabelecer o ritmo cardíaco normal. São constrituídos por três electrocateteres com sensor (localizados em três compartimentos do coração) com função de detecção de arritmias potencialmente letais e estimulação após emissão de uma descarga eléctrica. É de fácil aplicação, de frequência variável e a estimulação depende das medições efectuadas pelo sensor.;MICROPORT CRM PORTUGAL, LDA
10995811;DM Implantável Ativo (DMIA);SORIN CRM S.R.L;JT6PM;XFINE TX26D;SORIN;Electrocateteres endocárdicos bipolares auriculares e ventriculares  (de fixação activa e passiva) (J0190010102);"Dispositivos estéreis utilizados para estabelecer ligação eléctrica a um pacemaker, pela aurícula e ventrículo do coração do doente. Transmitem ao coração o impulso estimulante bipolar proveniente do pacemaker e, em direcção oposta a este, transmitem a informação sobre a actividade eléctrica espontânea do coração. Os electrodos de fixação passiva são caracterizados pela presença de apêndices de isolamento (conhecidos como ""barbas"") nas laterais do eléctrodo distal. Os de fixação activa apresentam um sistema de fixação tipo parafuso. Os dispositivos descritos são de uso único.";MICROPORT CRM PORTUGAL, LDA
